Aadithya Y , PESCS001 , B+ , Bangalore, 8.54 , fees paid , 80% , good , KCET ; 
Sreenivas G , PESME105 , A- , Chennai , 9.11 , fees paid , 79% , good , OTHERS ; 
Deepthi V , PESBT106 , AB+ , Chennai , 9.01 , fees paid , 89% , good , KCET ; 
Subhadra V , PESBT107 , B+ , Chennai , 9.66 , fees paid , 83% , bad , KCET ; 
Rajesh K , PESBT108 , B- , Kerala , 6.37 , fees paid , 60% , good , PESSAT ; 
Kavitha I , PESEE109 , AB- , Chennai , 6.11 , fees paid , 82% , good , PESSAT ; 
Ishan N , PESEC110 , AB+ , Pune , 9.55 , fees paid , 75% , good , PESSAT ; 
Ishank J , PESEC111 , AB+ , Pune , 8.84 , fees paid , 91% , good , PESSAT ; 
Shobha L , PESEC112 , AB- , Bangalore , 6.51 , fees paid , 82% , good , OTHERS ; 
Sudha A , PESEC113 , A- , Bangalore , 7.45 , fees not paid , 80% , good , KCET ; 
Ravi K , PESCV114 , A- , Hyderabad , 8.11 , fees paid , 80% , good , PESSAT ; 
Verandar V , PESEC115 , A+ , Bangalore , 6.91 , fees paid , 74% , good , KCET ; 
Kevin J  , PESEE116 , B+ , Delhi , 7.00 , fees paid , 87% , good , PESSAT ; 
Mazhar P , PESME117 , B+ , Bangalore , 7.50 , fees paid , 88% , bad , PESSAT ; 
Leela S , PESME118 , O+ , Delhi , 8.56 , fees not paid , 88% , good , PESSAT ; 
Leelavathi H , PESCV119 , A- , Kolkata , 9.17 , fees paid , 81% , good , OTHERS ; 
Samitha S , PESCS120 , A+ , Kolkata , 7.77 , fees paid , 92% , good , OTHERS ;
Gundachari H , PESCS121 , A+ , Kerala , 6.71 , fees paid , 82% , good , OTHERS ; 
Venkat J , PESCS122 , A- , Mumbai , 7.81 , fees paid , 80% , good , KCET ; 
Prashanth S , PESCS123 , O+ , Mumbai , 6.19 , fees paid , 82% , good , PESSAT ; 
Prashant K , PESEE124 , O+ , Bangalore , 7.11 , fees paid , 80% , good , KCET ; 
Mahendra S , PESBT125 , O+ , Delhi , 7.11 , fees paid , 80% , good , PESSAT ; 
Pradeep H , PESEC126 , O+ , Mumbai , 9.01 , fees paid , 80.12% , good , PESSAT ; 
Dhoni S , PESBT127 , O+ , Delhi , 7.54 , fees paid , 75.10% , good , OTHERS ; 
Virat K , PESCV128 , B- , Delhi , 6. 21, fees paid , 84.28% , bad , PESSAT ; 
Ajinkya R , PESCV129 , O+ , Delhi , 7.11 , fees paid , 100% , good , OTHERS ; 
Rahane A , PESCV130 , B+ , Chennai , 7.41 , fees paid , 60.39% , good , KCET ; 
Ruhela M , PESCV131 , B+ , Kerala , 8.69 , fees paid , 100% , good , KCET ; 
Kakul R , PESCS132 , B- , Mangalore , 8.22 , fees paid , 90% , bad , PESSAT ; 
Ravindra J , PESCS133 , B+ , Chennai , 8.33 , fees paid , 67.17% , good , PESSAT ; 
Jadeja R , PESCS134 , A- , Kolkata , 6.11 , fees paid , 99% , good , KCET ; 
Ashwin K , PESCS135 , O+ , Kolkata , 9.01 , fees paid , 80% , bad , PESSAT ; 
Rishabh P , PESCS136 , A- , Delhi , 6.03 , fees not paid , 70.68% , good , PESSAT ; 
Ishanth S , PESCS137 , A+ , Delhi , 7.20 , fees paid , 80% , good , PESSAT ; 
Manish P , PESBT138 , A+ , Delhi , 9.10 , fees paid , 89.78% , bad , PESSAT ; 
Morgan E , PESCS139 , A- , Mumbai , 8.90 , fees paid , 98.73% , good , PESSAT ; 
Mavi L , PESME140 , B- , Chennai , 8.98 , fees paid , 99.99% , good , PESSAT ;
Naman M , PESCS141 , AB+ , Chennai , 6.77 , fees paid , 80% , good , PESSAT ; 
Aman S , PESEE142 , AB- , Mangalore , 9.00 , fees paid , 91.26% , good , KCET ; 
Amit B , PESME143 , AB- , Mangalore , 8.11 , fees paid , 70.14% , good , KCET ; 
Dhawan S , PESCV144 , A+ , Mangalore , 7.11 , fees not paid , 86%.11 , good , PESSAT ; 
Alexander R , PESCV145 , O+ , Pune , 7.81 , fees paid , 70.89% , good , PESSAT ; 
Prithvi R , PESME146 , A- , Mumbai , 8.08 , fees paid , 87.77% , bad , PESSAT ; 
Prasidh K , PESCS147 , A- , Delhi , 9.09 , fees paid , 88% , good , KCET ; 
Krishna P , PESCS148 , O+ , Kolkata , 7.50 , fees paid , 68.48% , good , PESSAT ; 
Samantha N , PESEC149 , O+ , Delhi , 6.08 , fees paid , 97.01% , bad , PESSAT ; 
Purojith C , PESCS150 , O+ , Delhi , 8.20 , fees not paid , 84.48% , good , PESSAT ; 
Mahesh B , PESCS151 , B+ , Delhi , 6.00 , fees paid , 84.03% , good , PESSAT ; 
Nagraj N , PESCS152 , B+ , Kolkata , 6.99 , fees paid , 83.58% , bad , KCET ; 
Nograj D , PESCV153 , O+ , Delhi , 7.75 , fees paid , 64.91% , good , PESSAT ; 
Dhanush V , PESBT154 , A+ , Kerala , 7.10 , fees paid , 85.05% , good , PESSAT ; 
Danish S , PESME155 , AB+ , Bangalore , 7.20 , fees paid , 95.03% , good , KCET ; 
Tanmay B , PESEE156 , O+ , Bangalore , 9.24 , fees paid , 69.50% , good , PESSAT ; 
Samay R , PESCV157 , A+ , Mumbai , 6.89 , fees paid , 77.10% , bad , PESSAT ; 
Manjesh N , PESEE158 , O+ , Mumbai , 9.24 , fees paid , 83.08% , good , PESSAT ; 
Magnus C , PESCS159 , O+ , Chennai , 9.15 , fees paid , 84.47% , good , PESSAT ; 
Vishwanathanan A , PESCS160 , O+ , Chennai , 8.27 , fees not paid , 64.18% , good , KCET ; 
Vishwanath B , PESCS161 , B+ , Chennai , 8.01 , fees paid , 97.03% , good , PESSAT ; 
Vidit G , PESME162 , O+ , Pune , 9.02 , fees paid , 94.41% , good , PESSAT ; 
Abyudhay G , PESCS163 , B- , Hyderabad , 7.22 , fees paid , 80.82% , bad , PESSAT ; 
Guatami N , PESBT164 , AB- , Delhi , 8.87 , fees paid , 79.48% , good , PESSAT ; 
Nishchay M , PESBT165 , AB+ , Delhi , 8.00 , fees paid , 76.55% , bad , PESSAT ; 
Nishchai N , PESBT166 , AB- , Mumbai , 8.20 , fees paid , 76.47% , good , PESSAT ; 
Kishan M , PESME167 , O+ , Delhi , 7.39 , fees paid , 98.03% , good , PESSAT ; 
Gagan R, PESEE168 , A- , Pune , 9.70 , fees paid , 85.05% , good , PESSAT ; 
Keeshan L , PESBT169 , B+ , Pune , 8.07 , fees paid , 71.55% , good , PESSAT ; 
Mark R , PESBT170 , B- , Chennai , 8.92 , fees paid , 90.25% , good , PESSAT ; 
James M , PESCS171 , AB+ , Pune , 6.21 , fees not paid , 69.54% , good , PESSAT ; 
Siraj M , PESBT172 , AB+ , Delhi , 7.00 , fees paid , 86.04% , bad , KCET ; 
Shami N , PESCV173 , O+ , Delhi , 9.32 , fees paid , 67.05% , good , PESSAT ; 
Kala S , PESCV174 , B+ , Hyderabad , 8.71 , fees paid , 82.85% , bad , PESSAT ; 
Hema H , PESEE175 , A- , Hyderabad , 8.05 , fees paid , 80.75% , bad , KceT ; 
Hemashree L , PESCV176 , AB- , Mangalore , 7.90 , fees not paid , 79.25% , good , PESSAT ; 
Hemashri N , PESCS177 , AB- , Kolkata , 6.80 , fees paid , 76.05% , good , PESSAT;
Mansi G , PESCS178 , O+ , Delhi , 8.05 , fees paid , 76.50% , good , KCET ;
Manvi G , PESBT179 , O+ , Kerala , 7.50 , fees paid , 72.44% , good , PESSAT ; 
Gotham B , PESCS180 , O+ , Bangalore , 9.00 , fees paid , 88.90% , good , PESSAT ; 
Banner A , PESCS181 , A- , Chennai , 6.02 , fees paid , 71.10% , good , PESSAT ; 
Mahesh B , PESCS182 , AB- , Bangalore , 7.52 , fees paid , 76.55% , good , PESSAT ; 
Mahesh C , PESBT183 , O+ , Delhi , 7.00 , fees paid , 76.04% , bad , PESSAT ; 
Prasad B , PESCV184 , AB+ , Chennai , 9.74 , fees paid , 75.55% , good , PESSAT ; 
Rashmi J , PESCV185 , AB+ , Delhi , 8.00 , fees paid , 76.55% , bad , PESSAT ; 
Babu K , PESCS186 , AB+ , Delhi , 9.00 , fees paid , 88.55% , good , PESSAT ; 
Soundharya P , PESBT187 , AB+ , Delhi , 8.00 , fees paid , 76.55% , good , PESSAT ; 
Sondharya L , PESBT188 , AB+ , Delhi , 8.78 , fees paid , 76.55% , good , PESSAT ; 
Gautamee A , PESCS189 , AB+ , Delhi , 9.00 , fees paid , 80.28% , good , PESSAT ; 
Abhiram P , PESCV190 , O+ , Delhi , 8.40 , fees paid , 76.52% , good , PESSAT ; 
Abhishek B , PESME191 , AB- , Delhi , 7.01 , fees paid , 96.05% , good , KCET ; 
Ram K , PESME192 , AB+ , Delhi , 8.17 , fees not paid , 76.58% , good , PESSAT ; 
Dhruv S , PESME193 , O+ , Delhi , 8.57 , fees paid , 96.75% , good , KCET ; 
Dhruva N , PESCS194 , A+ , Delhi , 6.81 , fees paid , 77.77% , good , PESSAT ; 
Praneeth L , PESCS195 , O+ , Delhi , 9.08 , fees paid , 68.78% , good , PESSAT ; 
Shruti H , PESCS196 , B-, Delhi , 9.10 , fees paid , 85.75% , good , PESSAT ; 
Kajol I , PESCS197 , A-, Hyderabad , 9.78 , fees paid , 86.05% , good , PESSAT ;
Ishitha B , PESCS198 , AB-, Delhi , 9.10 , fees paid , 85.85% , good , PESSAT ;
Gorav K , PESCS199 , B-, Hyderabad , 9.90 , fees paid , 74.75% , good , PESSAT ;
Gourav L , PESCV200 , B-, Chennai , 7.16 , fees paid , 85.25% , good , PESSAT ;
Dinesh H , PESCV201 , B-, Delhi , 9.10 , fees paid , 87.10% , good , PESSAT ;
Harsha B , PESME202 , A- , Mumbai , 9.00 , fees paid , 85.95% , good , PESSAT ;
Harsha M , PESME203 , B+ , Mumbai , 9.30 , fees paid , 81.75% , good , PESSAT ;
Harish K , PESCS204 , O+ , Bangalore , 9.10 , fees not paid , 65.75% , bad , PESSAT ;
Narendra C , PESCS205 , O+ , Bangalore , 9.90 , fees paid , 85.75% , good , PESSAT ;
Dhanush J , PESBT206 , O+ , Kolkata , 9.99 , fees not paid , 85.55% , good , PESSAT ;
Vikram A , PESEE207 , O+ , Kolkata , 8.12 , fees paid , 85.44% , good , PESSAT ;
Adi H , PESEE208 , O+ , Delhi , 8.80 , fees paid , 95.76, bad , PESSAT ;
Satya B , PESME209 , B- , Delhi , 7.10 , fees paid , 87.75% , good , PESSAT ;
Suri K , PESCV210 , AB- , Chennai , 9.50 , fees paid , 65.79% , good , PESSAT ;
Karthi S , PESCS211 , B- , Chennai , 9.10 , fees paid , 85.09% , good , PESSAT ;
Kortama A , PESME212 , B+ , Delhi , 6.80 , fees paid , 81.75% , bad , PESSAT ;
Nagraj H , PESME213 , O+ , Mumbai , 8.55 , fees paid , 89% , good , PESSAT ;
Aakav K , PESEE214 , O+ , Delhi , 8.10 , fees paid , 85% , good , PESSAT ;
Aakesh R , PESBT215 , B- , Delhi , 7.60 , fees paid , 85.75% , good , KCET ;
Arav J , PESBT216 , B- , Delhi , 8.10 , fees not paid , 83% , good , PESSAT ;
Advik K , PESBT217 , O+ , Delhi , 10.00 , fees paid , 97.50% , good , KCET ;
Dharmesh P , PESCV218 , O+, Hyderabad , 9.81 , fees paid , 80.81% , good , PESSAT ;
Manju P , PESCV219 , O+, Hyderabad , 8.80 , fees paid , 90.75% , good , PESSAT ;
Majnu M , PESCV220 , B+ , Hderabad , 8.75 , fees not paid , 85.95% , bad , PESSAT ;
Raghu G, PESCV221 , AB- , Delhi , 9.10 , fees paid , 85.75% , good , KCET ;
Niveditha G, PESCV222 , B-, Bangalore , 9.10 , fees paid , 90% , good , KCET ;
Divya U , PESCS223 , B- , Mangalore , 9.80 , fees paid , 80% , good , KCET ;
Divya B , PESCS224 , B- , Delhi , 8.10 , fees paid , 75% , good , KCET ;
Prashant R , PESCS225 , B- , Mangalore , 8.84 , fees paid , 85.58% , good , OTHERS ;
Dharmesh Y , PESCS226 , A- , Mumbai , 8.10 , fees paid , 81% , good , PESSAT ;
Chandran P , PESCS227 , O+ , Bangalore , 8.41 , fees not paid , 95.05% , good , PESSAT ;
Chaitanya G , PESVS228 , B- , Pune , 8.00 , fees paid , 90.18% , good , PESSAT ;
Chandran H , PESME229 , B- , Kolkata , 6.09 , fees paid , 83% , bad , PESSAT ;
Darsh S , PESBT230 , A+ , Kerala , 8.17 , fees paid , 91.10% , good , PESSAT ;
Darpan M , PESME231 , B+ , Kolkata , 6.90 , fees paid , 80.77% , good , PESSAT ;
Prajwal D , PESEE232 , O+ , Delhi , 8.99 , fees paid , 71,% , good , KCET ;
Ranjith L , PESBT233 , AB+ , Delhi , 7.38 , fees not paid , 84% , bad , PESSAT ;
Ranjit B , PESCV234 , AB- , Bangalore , 8.55 , fees paid , 65.41% , good , PESSAT ;
Evak J , PESCV235 , A- , Chennai, 6.07 , fees paid , 80% , good , PESSAT ;
Ekansh A , PESCS236 , O+ , Hyderabad , 8.20 , fees paid , 85.75% , good , PESSAT ;
Girik T , PESCS237 , A- , Hyderabad , 8.28 , fees paid , 85.75% , good , PESSAT ;
Moksh T , PESCV238 , A- , Mumbai , 7.00 , fees paid , 76.07% , good , PESSAT ;
Tushya A , PESCS239 , B+ , Kolkata , 7.12 , fees paid , 80.09% , good , PESSAT ;
Inesh S , PESCS240 , AB- , Pune , 9.01 , fees paid , 65.71% , good , OTHERS ;
Jairaj M , PESBT241 , A- , Bangalore , 8.10 , fees paid , 80% , good , KCET ;
Jihan A , PESME242 , O+ , Chennai , 8.05 , fees paid , 67.08% , good , KCET ;
Lekh A , PESEE243 , AB+ , Chennai , 8.10 , fees paid , 87.70% , bad , KCET ;
Mohit S , PESBT244 , O+ , Hyderabad , 8.20 , fees not paid , 90% , bad , PESSAT ;
Manbir G , PESBT245 , AB+ , Bangalore , 7.65 , fees paid , 94.09% , good , PESSAT ;
Mayan S , PESCME46 , B+ , Pune , 8.73 , fees paid , 87.05% , good , PESSAT ;
Nishit D , PESEC247 , A+ , Bangalore , 6.08 , fees paid , 81.15% , good , PESSAT ; 
Nishchith R , PESEC248 , B+ , Bangalore , 8.72 , fees paid , 85.73% , good , PESSAT ;
Nihal A , PESEC249 , AB- , Delhi , 6.45 , fees paid , 72.27% , good , PESSAT ;
Onkar H , PESEC250 , O+ , Delhi , 6.00 , fees paid , 75.57% , good , PESSAT ;
Omkar D , PESEC251 , AB+ , Chennai , 6.20 , fees not paid , 75% , good , PESSAT ;
Murthy V , PESCV252 , A+ , Kerala , 8.11 , fees paid , 81% , good , KCET ;
Herana P , PESEC253 , A+ , Bangalore , 7.22 , fees paid , 68.25% , good , PESSAT ;
Kavya M , PESEC254 , B+ , Mangalore , 7.80 , fees paid , 81.12% , bad , KCET ;
Oviyan P , PESEC255 , O+ , Kolkata , 8.09 , fees paid , 90.70% , good , KCET ;
Vineeth B , PESCS256 , O+ , Bangalore , 9.22 , fees paid , 81% , good , PESSAT ;
Neeraj C , PESCS257 , A+ , Kolkata , 8.30 , fees paid , 70.07% , good , PESSAT ;
Sindhu P , PESCS258 , B+ , Hyderabad , 7.72 , fees not paid , 87.10% , bad , PESSAT ;
Advika N , PESEC259 , B+ , Pune , 7.07 , fees paid , 91.11% , good , PESSAT ;
Prisha N , PESCS260 , A+ , Delhi , 7.00 , fees paid , 84.04% , good , OTHERS ;
Priya T , PESEC261 , O+ , Mumbai , 8.00 , fees not paid , 72% , bad , KCET ;
Ramya G , PESCS262 , O+ , Bangalore , 7.98 , fees not paid , 98.89% , bad , KCET ;
Purvika S , PESCV263 , B- , Bangalore , 6.99 , fees paid , 69% , bad , KCET ;
Ananya P , PESEV264 , AB+ , Delhi , 7.70 , fees paid , 76% , good , PESSAT ;
Bhavana P , PESEC265 , A+ , Chennai , 8.70 , fees paid , 75.70% , bad , KCET ;
Daksha B , PESEC266 , B+ , Kerala , 9.10 , fees paid , 95.08% , bad , KCET ;
Brinda V , PESCV267 , O+ , Kolkata , 6.99 , fees paid , 95% , good , PESSAT ;
Geetika B , PESBT268 , O+ , Mumbai , 8.80 , fees paid , 90.14% , good , PESSAT ;
Geeta M , PESME269 , A+ , Mumbai , 8.08 , fees not paid , 68% , good , KCET ;
Gayathri C , PESEE270 , B+ , Hyderabad , 7.00 , fees not paid , 85% , bad , PESSAT ;
Ishani N , PESCS271 , B+ , Mumbai , 6.08 , fees paid , 71% , good , PESSAT ;
Someshekar K , PESEC272 , B+ , Bangalore , 8.70 , fees paid , 65.75% , good , PESSAT ;
Shekar G , PESEC273 , O+ , Bangalore , 6.92 , fees paid , 85.07% , bad , PESSAT ;
Chetan S , PESME274 , O+ , Hyderabad , 8.05 , fees paid , 85.75% , good , PESSAT ;
Krisha D , PESEC275 , A+ , Chennai , 8.00 , fees paid , 83.25% , bad , PESSAT ;
Maira A , PESCS276 , A+ , Hyderabad , 8.06 , fees paid , 78% , good , PESSAT ;
Kalki G , PESCS277 , O+ , Chennai , 9.77 , fees paid , 65% , good , PESSAT ;
Pihu I , PESCV278 , O+ , Delhi , 6.71 , fees not paid , 82% , good , OTHERS ;
Nyra J , PESEC279 , A+ , Delhi , 8.10 , fees not paid , 73% , good , KCET ;
Ridhi F , PESBT280 , B- , Kolkata , 9.10 , fees paid , 80.51% , bad , PESSAT ;
Saira N , PESEC281 , A+ , Mumbai , 6.25 , fees paid , 87% , good , PESSAT ;
Yashaswini S , PESBT282 , AB+ , Delhi , 9.58 , fees paid , 76% , bad , KCET ;
Yashasvini A , PESEE283 , AB+ , Chennai , 8.00 , fees not paid , 80.38% , good , PESSAT ;
Dravid T , PESCV284 , O+ , Bangalore , 6.80 , fees paid , 90% , good , PESSAT ;
Ajey N , PESEE285 , A+ , Pune , 8.71 , fees not paid , 70.39% , good , OTHERS ;
